0.7288966+0.3468556i,0.1531487-0.2185674i,0.4198514+0.4813126i,0.41478-0.07669884i,-0.1887459+0.3870627i,0.03955563+0.3730184i,-0.5234825+0.2542481i,-0.3367614+0.3249134i
0.09407022-0.4096554i,-0.4047777+0.4286513i,-0.3031035+0.4097057i,0.2597991+0.8997067i,-0.7869843+1.596513i,0.5484543-0.1481548i,-0.7125128+1.444591i,1.138437+0.2969527i
-0.3518633-1.58531i,-0.158984+0.6648595i,2.032606+0.8089374i,0.5212798-0.4825658i,-0.2124901-0.1827967i,-0.2912383-0.4442332i,-1.379916+1.425816i,1.294785-0.06486581i
-0.1268876+0.3812091i,-1.023978-0.1395061i,0.4791442-1.153611i,0.516048-1.197488i,-0.4636255+0.4322739i,0.3947312-0.2417667i,-0.5289723+1.993953i,-1.506632-0.793319i
0.8408275+0.09308189i,0.01472293+0.6394513i,1.836011-0.6666511i,-1.106384+0.1399562i,0.4119093+0.5078009i,0.4549618-0.9072959i,-0.4413301-1.192697i,0.3870164-0.291564i
0.5325809+0.07739232i,-0.1418231-1.277326i,0.6167226+0.2029084i,0.8160154+0.4869138i,-0.5062567-0.3236623i,0.09412368-1.174444i,0.2669145+0.3031946i,-1.066187+1.34954i
0.8047882-0.7952441i,0.01955567-0.4466422i,0.4335832+0.9093943i,1.141213-0.4870954i,-0.1504391+0.481809i,-0.4941138-0.3195308i,-0.7672138+0.4659993i,-1.6529+0.6822104i
0.1278033+0.7974777i,0.8269497-0.2024282i,-1.242227+1.039768i,0.2870924+0.7189922i,0.1469249+0.4598825i,-0.3742958+0.9732383i,0.293617-1.236636i,-1.481552+0.09312116i
0.7828293-2.282i,-0.1607869+0.1075661i,-0.3089682+0.1422267i,0.8866448+0.1805122i,-0.1816829-0.4656303i,0.1715727-0.1442913i,0.5761241-0.5934566i,-1.106442+0.6885822i
-0.254128-0.5335538i,0.5691383+0.1558862i,0.02091187-0.04379153i,-0.1873557+0.4746741i,0.08574745-1.387182i,-0.5224826-0.3367432i,0.5456768+0.1633463i,0.3516147+0.4906423i
1.047367-0.5395246i,-0.9331613-0.1114863i,0.01789304-0.5872193i,-1.6625-0.3482656i,0.05258119+0.06171585i,-0.5719039+0.4056111i,-0.6114107-1.145422i,0.6532405-0.05283396i
-1.042321-0.1914465i,0.170415-0.843857i,0.7601769-0.3414874i,-0.901076+0.8510097i,1.279099+0.5638033i,0.03594472+0.1238875i,-0.6416802-0.2222788i,-1.166433+0.2338665i
-0.8687227+0.9665409i,-0.2937191-0.9786133i,0.6000478+0.5531723i,0.3358799+1.075543i,-1.488507+2.442875i,-0.8850467-0.2183963i,-0.0356749-0.245829i,0.6103234-1.411751i
-0.1983594-0.3307557i,-0.8983031-0.8849186i,0.02466824+0.0694127i,-0.8797737+0.1315777i,-0.3995794+0.6002418i,0.6585211-0.1161376i,-0.1332707+0.2030861i,-0.6716031+1.121156i
0.4927949+0.3319803i,-0.08053456-0.08546665i,-1.298452+0.1286475i,0.5933566+0.4130504i,0.1417964-0.2458397i,0.7502551+0.1648179i,-0.1980966+1.328402i,0.7921649-1.036541i
0.5589118+0.1416135i,0.2436458+0.2090556i,0.575816-0.1096123i,-1.259933+0.2522443i,-0.1610617-0.6272597i,0.7469407+0.2785961i,-0.4231699-0.1451187i,0.7895246+0.0002747843i
-0.8634146-1.093413i,-0.441783-0.2694783i,-0.3055119+0.681806i,0.1959906+0.8161318i,0.5500713-0.2568444i,0.1226521+0.6700523i,0.9254882+0.4603451i,0.3668858-0.6292112i
