1.70859-0.9609022i,-0.2991113+0.3385714i,-0.489412-0.1386235i,0.7895491-0.1909903i,0.0785447-0.5014473i,-0.3672467+0.4051203i,0.2334305+0.182245i,0.7689576-1.356772i,0.03261088-0.5161191i,-0.5455257+0.9429443i,-0.8565398+0.5588008i,-0.07901619-0.3408326i,0.02360399+0.093325i,-0.890268-0.6467369i,0.01646345-0.4880281i,-0.1050198+0.01732844i,0.5484874+0.501688i,0.6044248+0.4837362i,0.8144503-1.61173i,1.625099-0.5461827i,1.247844-0.6165357i,-0.2898713-0.4687683i,0.1140206-0.7827427i,0.2394115+1.429866i,-0.1882392-0.301031i,0.5219837-1.015442i,0.3527403+0.5975325i,-0.3347555-0.1582999i,0.4408599+0.6866343i,-0.6116174-0.02617268i,0.6123832+0.0986253i,0.01887495+1.233188i,-0.7243085-0.7766409i,0.01087217-1.031084i,-0.03868763+1.619638i,-0.1972319+1.1768i,0.003925896+0.419679i,0.3353598+1.42884i,0.3285826-0.1724518i,-0.2858009+0.721852i,1.588079-0.1259601i,1.150907+0.1586512i,-0.5920402-0.3589339i,0.9265469-0.02073838i,0.4290984-0.3591695i,-0.7759047-0.7598888i,-0.2321697-0.272587i,-0.31621+0.1311589i,1.166368+0.3372694i,0.2063598-0.1525864i,-0.8254427-0.7001003i,0.2784699-0.06004575i,-0.09796523-0.2336942i,-0.1257531+0.3023419i,0.2309785-0.0009755277i,0.2220519+0.3308682i,-0.2126923-0.3039498i,-0.6732203-0.2190676i,1.445537+1.009369i,1.79978-0.4041594i,-0.003189957+1.164631i,-0.2801307+0.1919477i,0.1916384-0.8495442i,0.732892-1.311462i
0.2589968+0.8418798i,-0.2735076-1.013757i,0.8685097-1.162865i,-0.5537716+0.7827891i,0.3576804-1.305313i,0.2516845-0.2235463i,1.034671+0.2685646i,0.0148209-0.3677552i,0.137771+0.4223898i,0.6327749+0.2818907i,1.607897+0.9532558i,-0.4007686+0.3748118i,1.185823-1.314866i,0.480943+1.041532i,-0.2042302+1.003007i,0.3855241-0.07781548i,0.3165761+1.03786i,0.2656972-1.169622i,0.183631+0.9295064i,-0.4410605+0.9000815i,1.071524+0.09693477i,-0.8778374-0.3875171i,-0.186277-0.4483625i,-0.117951-0.08033971i,1.31236+0.9187046i,-0.4438998+0.01930755i,0.2220885+1.594964i,-0.05741253+0.01425316i,0.28922+1.433451i,-0.4878041+0.778028i,-0.2449919-0.1752293i,-1.196365+0.9715632i,0.6613361-0.4703494i,-0.1028629+0.4546678i,0.6034613-0.1903019i,1.124944+0.7572832i,0.00248592-1.099212i,0.4289174+0.2094187i,-0.04065799+0.4018893i,-0.4569063-0.599596i,0.2386335-0.7271642i,0.3633474-0.05177647i,-0.5165437+0.1343181i,-0.3142937+0.5069501i,-0.6312193+0.0673044i,0.1439431-0.4648004i,0.4546174+1.099588i,-0.4019301+1.117605i,-0.5044633+0.9443006i,-0.6180223-1.200884i,-0.5833704-0.2167277i,0.1735284-0.6028789i,-1.137593-0.570751i,-0.6702196-0.2608067i,0.5265336-0.4481114i,0.5957569+0.1757592i,1.358832+1.010077i,0.1575559+0.4945682i,-0.3537212+0.2491022i,1.00855-0.03547995i,1.844701-1.718565i,1.679458+0.1256106i,0.1603691+0.1156436i,0.4636697+0.8830897i
0.08470257+0.07119755i,0.187034+0.5021665i,-0.8084099+0.08841982i,0.3477844-0.300139i,0.1590652+0.8679861i,0.9255294-0.2054856i,0.2056228+1.088239i,-0.327497-0.3927979i,-0.3790395-0.1477248i,0.3803538+0.1732952i,1.349947+0.06937374i,0.2871729-0.8258646i,0.190479-1.406661i,0.6040271+0.7710518i,0.400057+0.2504101i,0.02578165-1.381586i,-0.04087929+0.2515978i,0.1476944-1.629148i,0.7108939-0.3572271i,-0.09732218+0.2111378i,-0.7911236+1.239383i,0.9086398+0.1065708i,0.3424655+0.4402066i,-1.209341-0.6064501i,-0.03590524+0.3738252i,-0.8273382+0.7048136i,-0.5937728+0.3088921i,-0.09849431+0.03888517i,-1.074814-0.01421865i,0.3599476-0.06878488i,1.357231-1.368167i,-0.02267662+0.06433809i,-0.05262309+0.1179362i,-0.761088+0.3273044i,0.6855475-0.6125038i,1.025528+2.037754i,0.6636169+0.2225285i,-0.6934496-0.3792856i,0.6070123+0.754703i,-1.176301-0.3559839i,-0.1205932-0.05391148i,0.8904892-0.1539388i,-0.2387168-1.306043i,0.5714142+0.953267i,-0.3769782+0.5401542i,0.6786036+1.576882i,0.04957002-0.3943442i,-0.7551379+0.1482101i,0.007766916+0.7571898i,0.3759287-0.1279546i,-0.1457111-0.02888266i,-0.946122+0.3098422i,0.8327861-1.468008i,0.1769463+0.5692891i,-1.224364+0.3801026i,0.3738105-0.1295335i,0.6302109+0.5019316i,-0.6320452+0.6535003i,0.4303988+0.198565i,-0.3290295-1.085922i,-1.416475-0.6952654i,0.06710719-0.3227984i,0.3901293-0.2316787i,-0.4697339-0.6780125i
-0.4956415+0.4425768i,0.8140413+0.1071287i,-0.2952597-0.6338449i,0.6771238-0.3869456i,0.1599762+0.5437495i,-0.006457165-0.3271503i,-0.3442512+0.6158395i,0.4823606+1.00141i,0.2338351+0.5876711i,0.08762363+0.6564904i,0.5618724-0.4904265i,0.1041801+0.3923776i,0.5942836-0.3055813i,-0.3780273+0.719866i,0.9815803+0.625416i,0.4213564-0.1214101i,0.3256421+0.2204465i,0.09861335+1.084545i,-0.5656314+0.3219788i,-0.1260493-0.1470399i,0.6975068+0.2992627i,-0.7259578-0.2033684i,0.4192117-0.9156698i,0.5318803+0.03151612i,0.3936111-0.8016886i,-0.5411475+0.03317659i,-0.8599108+1.331626i,-0.4086817-0.5520657i,0.3119493+0.1163178i,-1.110498+0.1586404i,-0.598781+0.7580079i,-1.44475-0.303445i,0.3360443-1.471543i,-0.03251825-0.2042885i,-0.1556918-0.6013186i,-0.2338815-0.817196i,-1.594178-1.063928i,0.3442418+0.02239718i,-1.267076-1.64863i,-0.4678492-0.4504659i,-0.8474491+0.7779346i,1.336538+0.8060672i,0.6351649-0.4651985i,-0.4799588-0.1984148i,0.3229765+0.5621416i,0.3888049+0.2541698i,1.302772-0.8153731i,-0.2384667-0.3569919i,-1.420839-1.551637i,0.9636316+0.786246i,0.0791835-0.6794936i,0.3220456+0.4709784i,1.345757+1.509525i,0.1832512-0.04469286i,-0.646351-0.1750021i,-0.06622288-0.6810372i,0.7902051+0.2351431i,0.6143646+0.8131902i,-0.0005588034-1.362986i,-0.7794797+0.5080432i,0.6036788+0.8473368i,0.2355097+0.2479654i,0.6695257-0.2986594i,0.002770796-0.2349908i
0.8382689+0.4348898i,0.9477713-0.4525054i,0.8330372+0.3170556i,-0.6373024-0.8371763i,0.6564899-0.1224211i,-0.5069456+0.6055188i,0.1419175+0.5348273i,-0.5955619+0.5656351i,1.433757+0.4922802i,-1.557787+0.2414182i,-0.1457151+0.5708157i,0.1980076-0.8202872i,0.1900887+1.032887i,-0.3107707-0.05292502i,0.8488178-0.06510282i,-0.4928255+0.677124i,0.4725473+0.6882772i,0.8909756+0.07390636i,-0.1334497+0.7709165i,-0.2600328+0.2884709i,-0.8182334-0.9798553i,1.449872-0.6433951i,0.007922501-0.7531822i,0.5022932-0.5740384i,0.4443431-0.5281558i,-0.3005814+0.6006093i,0.4576419-0.09942321i,0.01123177+0.3613672i,-0.1472864+0.9583589i,0.927883-0.3142112i,-0.4426584-0.4475778i,-0.8415511-1.107943i,-0.02375321+0.5288106i,-1.095991-0.3280576i,0.4778042-0.565496i,-0.2084368-0.5809011i,-1.16542-0.9365842i,0.9886731+0.1072333i,-0.3371444+0.1232419i,-0.05030824-0.6401457i,1.466072+0.5415203i,-0.521158-0.4626275i,-0.6029865+0.5730858i,-0.7440332-0.4449931i,-0.466512+0.01398037i,0.2899725-1.37334i,-0.3127074-0.1014872i,0.4127743+0.3977032i,0.5893913+0.696222i,-0.5332164-0.2745626i,-0.05798892-1.060084i,0.3737692-0.07830676i,-0.04993625-0.3748022i,-0.1372754-0.009146254i,-0.5804399-1.798924i,-0.5042655-0.09222665i,-0.7732431+0.2157943i,-0.6155424-0.8882632i,0.3810382-0.01710604i,-0.2989707+0.8557737i,-0.3889969-1.228152i,-0.667643+0.5930184i,-0.2842144-0.7732106i,0.4165512+0.6053718i
-0.1688402-2.194704i,0.2957996-1.206772i,-1.517113+0.4240644i,0.5940493+0.8500552i,0.3163036+0.5717003i,-0.2305741-1.154816i,-0.8247958-1.198192i,0.07013869-0.2431261i,0.3896831-0.8234493i,-0.4578091+0.235155i,-0.6268404+0.7665386i,0.05737529+0.07394832i,-0.1072168-0.2259138i,0.5232709+0.7942274i,0.07677893-0.5163723i,0.09884802+0.7504814i,0.4350766+0.2984078i,-0.4120487+0.6347727i,-0.6198324-0.3284995i,0.5913644-0.9048064i,-0.3683514+1.429935i,-0.6026921+0.0712741i,-0.02171591+0.6471223i,1.710602-0.03535474i,0.1680963-0.846641i,-0.2874763-0.8901597i,0.7445462-0.5530145i,0.7891968-1.127801i,-0.0269377+0.01339644i,1.016996-0.8665996i,-0.1679185+1.034341i,0.8875125-0.6225682i,-1.239806+0.3799422i,-0.01823741+0.8522289i,0.4628986+0.9866055i,0.8716224-0.5156421i,0.2714854+0.2504408i,0.2965303-1.142834i,-0.4395999-0.6206713i,-0.09695386-0.5167671i,-0.08788024-0.1426124i,0.1085909-1.320268i,0.4644153-0.7754678i,0.8880383+1.104632i,0.5397723+0.4766783i,-0.2249155+0.829989i,-0.06393829+0.2467459i,-0.4763654+1.057635i,-0.4945254+0.1312242i,0.6101285+0.1193327i,0.07674472-0.6042888i,-0.03963348-0.4239417i,0.468472+0.105967i,-0.2138923-1.881456i,1.373352-0.42934i,-0.4987603+0.1593914i,-0.9246478-0.6359362i,-0.5263678+0.5133839i,0.8300358+1.284998i,0.7562804+0.08249887i,-0.2280944+0.3704195i,-0.2801225-0.1614807i,-0.338699-0.7185084i,0.2144185+0.7094134i
0.470632+0.6146309i,-1.526383+0.7549899i,1.313944-0.2491474i,0.00682176-0.9299176i,-0.2340963+0.2188675i,-0.4811447-0.0391675i,-1.565518+0.2118985i,-0.4133338-0.2281889i,0.01796533-1.754342i,-0.5012444-0.1531791i,0.3236753+1.326411i,0.0116475+1.220216i,-0.05765928-0.0293781i,-0.2615168+0.1233625i,1.084552+0.4738967i,-0.3359689+0.5376514i,1.54953-1.029699i,0.9262951+0.5102211i,-0.625716-0.1904871i,-0.1496895+0.7541904i,-0.871577+0.1952576i,0.003306966+0.2940176i,0.5311597-0.272474i,0.7671222+0.2695009i,1.144882+0.8169494i,0.8138054-0.3642565i,0.8212771-0.6095216i,-0.1897395-0.3793016i,-0.5945073+0.8710393i,0.1197958+0.8534866i,-0.4714905+0.2108074i,-0.08114908+0.0524117i,1.313371-0.2771544i,-0.9193424+0.2412975i,-0.2377109+0.972288i,0.8468136+0.1766697i,-0.3868103-1.108977i,0.5030301+1.542826i,0.325435+0.692004i,0.8301877+1.080134i,-0.4771779+0.6276479i,-0.3591219-0.6152061i,-0.8628323+0.2559921i,0.4126397+0.2162463i,-0.2755702-0.05138172i,0.1297258-1.010363i,-0.1447817+0.2098507i,0.08818931+1.53429i,1.182672+0.3082952i,0.5120719+0.4744507i,0.2874345-0.8366948i,-0.6466441+0.8415287i,-0.4552541+0.1177882i,-0.4309443-0.699938i,-0.01425932-0.6418991i,1.194853-0.7480131i,1.004543-0.5814787i,0.8266603-0.04313158i,-0.6967776+0.09614834i,0.4809625+0.2715652i,0.04702416+0.2015394i,0.4253545-0.5312879i,-0.1278359+0.8961411i,0.3162973+0.9210817i
-0.03554431-1.102064i,-0.2332566+0.07378114i,-1.060389-0.8968881i,-0.71141-0.04239957i,-0.8367308+0.7073928i,1.173118+0.2315929i,0.5044916-0.1641716i,-0.1799966-0.2373599i,-0.9425973+0.6117687i,-0.4577704+1.606858i,0.2195732+0.2528056i,0.09757262+0.03185114i,-0.4951249-1.765678i,-0.7205878+0.2564113i,1.743958+0.04563072i,0.4887842-1.17605i,0.8067133+1.105252i,-0.4974116+0.8934304i,0.9337602+0.30004i,-0.09692153-0.8920849i,-0.2536083+0.0742081i,-1.358282-0.5533985i,-0.6707221-0.6486624i,1.083608+0.1197678i,0.5583026+0.2939837i,-0.4540898-1.040552i,0.3311642+0.8913294i,-0.5895461+1.062386i,0.1068706-1.240528i,0.2802489+1.327365i,-0.9629176+0.2192385i,0.9727984+0.255242i,-0.9677653-0.1217886i,-0.640654+0.8225865i,0.4407003+0.492537i,-1.308316-0.2348953i,0.1088602-0.2040575i,1.935271+0.436506i,0.1089036-0.3993715i,-0.2299898-0.4574578i,-0.4562422+0.765417i,0.06967836-0.4235291i,-0.9008931-0.3277612i,-0.3862959+1.495219i,0.9726443+0.2135492i,0.8316793+0.4314715i,-0.3920665+0.5359681i,-0.4109077-0.5204311i,0.2942731+0.7861359i,1.106926-0.3303195i,0.05990712-1.268353i,-0.07416959+0.7458291i,-0.4191247-0.4133541i,0.8030828+0.9813372i,-0.7855775-0.1556066i,-0.06395404-1.350022i,0.04928867+0.4122711i,-0.4359994+0.4741488i,0.2595481-0.4870571i,-0.7473293-0.2377512i,-0.504845+0.3930908i,0.2651514-0.4603744i,0.4785691-0.5019297i,-0.8156209-0.05002723i
1.428701+1.411765i,0.218993-0.9906812i,0.04662399-0.8449239i,0.8971108-0.4537273i,-0.4523735+0.6671185i,0.6475199-0.5574028i,-0.4731779+0.02641302i,0.2077654-1.479756i,0.01860534+1.162494i,0.5476803+0.7952306i,0.1043896+0.9463118i,0.04189945-0.6235951i,-0.02370024+1.193948i,-0.668762+0.4249971i,-0.02711103-0.337467i,-0.2458161-0.7644387i,0.6204178+0.04382563i,0.1918979+1.065985i,-0.8092042-0.275802i,0.2989414+1.034492i,-0.3266359+0.6624225i,-0.6718211-0.6597819i,-0.886005+0.6433963i,1.233222-1.2546i,0.09918046-0.1989143i,1.757048+0.2241546i,-0.006872717+0.1527618i,-0.4091147-0.1049276i,-0.2398947-0.5971497i,-0.3835002-1.257059i,-0.3913338+0.6217361i,-1.32878-0.5671918i,-1.309106+0.01850438i,-0.426286+0.2486371i,-0.4748735-0.5914703i,-0.1620443-0.3679967i,0.1387471-0.1815579i,0.4444958-0.4707621i,-0.3301793-0.3165157i,-0.3070514+0.5046403i,0.3095497-0.4659253i,-0.2671118-1.119789i,0.5968397-0.8337482i,0.1195806-0.0141558i,1.560729-0.573208i,0.548595-0.9232462i,-0.4598566+0.06975779i,-0.1814998+0.2460131i,-0.2347933-0.3914286i,-0.6771473+0.9161186i,0.1126506-0.5175759i,0.23411-0.5643286i,-0.1414462-1.105351i,0.7102123+0.01230423i,-0.8969148+0.4236842i,-0.563832-0.9576855i,0.6711281-0.4636729i,0.3036169-0.5562806i,1.554305-0.6131059i,0.09996401-0.9728327i,0.2940454+0.3198114i,-0.6368515+0.8013312i,-0.1325872+0.03523611i,0.06383513+1.926198i
-0.1908429-0.0523203i,0.1172044+1.27096i,-0.8365982-0.6737723i,-0.3257708+0.7509423i,-0.1596228+0.7141731i,-0.1141335+1.271536i,0.1672966+1.182188i,-0.3571644-0.7368709i,0.2250208-0.2941777i,-0.08601558-1.184379i,0.02285385+0.6103128i,0.02403104+0.407157i,-0.3973376+0.8965243i,-0.03668376-0.1820876i,0.1822757+1.722907i,-0.2189167+0.4034092i,-0.1758971+1.071081i,-0.2844371-0.01043298i,0.3574627+0.03880412i,0.4211802-0.1906466i,-1.608216-0.6444395i,-0.811446+0.7341067i,0.6528876+0.5410665i,-1.2241-0.373202i,0.2574317-0.3827606i,0.3712555+1.429918i,-0.04424341-0.5678828i,0.01001575-0.2159707i,-0.5996731+0.02069701i,-1.223988+0.303084i,0.06883372+0.08503353i,-1.197947-1.738555i,-0.0550451+0.4284806i,-0.1087715+0.6426862i,0.6166651+0.09159532i,0.616195+0.421353i,-0.929397-0.1762834i,-0.2612543-0.2501607i,0.3447325-1.334372i,-0.2942891+1.021456i,-1.271362+0.6159926i,0.6254557-0.922168i,0.4429977-0.8678285i,0.3043748+0.7140229i,0.4769058-0.8333631i,0.1320097+0.234684i,0.2446128+1.000817i,-1.390993-0.2752292i,-1.451239+0.6938674i,0.6125667-0.5335405i,0.1433537-0.8467125i,0.560609+0.8841134i,2.10681+0.5552313i,0.04434875-0.4593012i,0.2277417-0.8732892i,-0.1954118-0.3207649i,-0.4425979+0.4705869i,1.578267-0.02765568i,-0.06428375-0.6085815i,1.078579+1.631246i,0.9094794+0.8516001i,-0.7673774+0.2592703i,-0.7099193+1.066062i,-0.2054107-0.3654797i
0.4072185+0.007811546i,-0.5143103+1.271532i,0.2809311-0.05994156i,0.1887276-0.1221425i,-0.290522-0.7153519i,0.5553904-1.582976i,0.5076131-0.3191241i,-0.4930705-0.724317i,-0.2212097+0.282575i,-0.6557881+0.472022i,0.562741+0.2970159i,-0.0315485-0.6044672i,1.17651+0.40387i,0.4018106+1.120196i,-0.6244866-0.3079322i,0.3755432+0.9587065i,0.5193797+0.1383758i,0.01107638+0.7227176i,-0.6073726+0.3679291i,0.9250218-0.5211197i,-0.08171035-0.374905i,0.5332415+0.1436084i,0.5009794-0.02382302i,1.038049-0.7511587i,-0.9486229-0.5763516i,0.6412672-0.2870548i,-0.9869148+1.640141i,0.2652429+0.539675i,-0.3054368+0.2273314i,-0.1760416+1.237292i,-0.3866514-0.2986808i,0.2204579+0.7397942i,-1.519315-1.211531i,0.148779-0.3949453i,0.3888111+0.4374636i,0.6684306+0.1547078i,-0.2311556+0.1606206i,1.080042+0.2776367i,0.05543873-0.3906643i,0.8647252+0.4830808i,-0.00164453-0.4984872i,0.6113338+1.011366i,-0.6833947-0.2599651i,-0.1369166+0.3069482i,-0.299294-0.4895948i,-0.6232895+0.001390669i,0.5526103-0.3444346i,0.8572013+0.366903i,0.8016033-0.2390852i,0.3767283+0.1818517i,0.9340006+1.244695i,0.7360855-1.596795i,0.6095595-1.567706i,0.4694333-0.5722993i,0.2417314+0.04625473i,-0.4902444-0.9982224i,-1.336936+0.5733593i,-0.2891507-0.1394568i,0.9278108+0.1291552i,0.4988567+0.1940719i,0.6326533-0.9429134i,-0.3022037+1.462614i,0.4567547-0.7877645i,0.4339157-0.3331379i
